STATE_ABBR,EVAL_GRP_YEAR,total_removal,total_growth,total_mortality,total_inventory,total_hardwood,region
OK,2015,3092646,7157166,1123434,241354628,2094942405,R8
PA,1989,21175245,20186334,8109439,1298494735,22821729513,R9
PA,2006,17212277,37035224,4847831,1525455057,28589937996,R9
PA,2007,21414176,40764424,5551193,1568003871,28698552579,R9
PA,2008,18803809,40468148,5352873,1572288423,28853769438,R9
PA,2009,17074426,39566494,6413626,1552173024,28975428991,R9
PA,2010,18032708,38412314,7316978,1549358092,29152350142,R9
PA,2011,18824573,36927784,9294579,1538137426,29080051653,R9
PA,2012,15351949,35095693,11674723,1535141132,29174620473,R9
PA,2013,15471961,34624609,12327047,1575645712,29971549947,R9
PA,2014,15475048,34355197,11940648,1598555783,30074554003,R9
PA,2015,20538098,33393172,12365206,1565362598,30292361203,R9
PA,2016,18065060,33815589,13617212,1588902528,30514964940,R9
RI,1985,396116,744081,138222,38797124,349138552,R9
RI,1998,595693,280186,176731,36008342,385610140,R9
RI,2006,9747,1234194,0,58151598,563034021,R9
RI,2007,141397,1357860,0,55499919,518129360,R9
RI,2008,0,812954,211250,52579102,516635141,R9
RI,2009,36811,664752,224727,50704079,534841900,R9
RI,2010,31705,894489,189760,54613203,555289442,R9
RI,2011,25940,1309492,222436,61732482,582261275,R9
RI,2012,22490,1244068,274364,62696819,588764652,R9
RI,2013,27176,1306788,238150,63864474,563294089,R9
RI,2014,19852,1306461,212142,65382225,557462662,R9
RI,2015,20546,1286708,287056,68683692,571128521,R9
RI,2016,19447,1216136,272833,68657739,569052299,R9
SC,1968,11605598,18169635,1101719,403100406,6145044192,R8
SC,1978,12080195,26141437,660548,585407167,8253251929,R8
SC,1986,10754777,21180744,1305345,682357397,8896636637,R8
SC,1993,19303614,26588954,9051192,733176393,8651093903,R8
SC,2001,16399549,31890670,3329169,829239990,8853787555,R8
SC,2005,7979237,36579662,215146,833860979,8932867580,R8
SC,2006,8242323,33197145,624331,831339514,8933060551,R8
SC,2007,13347290,33221741,2149528,828709179,9013784739,R8
SC,2008,16535834,33801645,3261839,825638409,8955807906,R8
SC,2009,19355856,32721917,4342966,817389172,9031780307,R8
SC,2010,17054508,33112745,4220336,859766199,8963415719,R8
SC,2011,15317147,32389812,3640181,878318460,8934231141,R8
SC,2012,15239145,30858883,3960100,871646984,8899022333,R8
SC,2013,12357980,30745166,3491993,880618262,9098243182,R8
SC,2014,11263518,30190104,2662457,878489109,9080493690,R8
SC,2015,12654167,29462206,3768533,882878571,9253978990,R8
SC,2016,13134345,30413208,3921754,905617473,9456196006,R8
SD,1980,0,6242,0,2691504,36558364,R2
SD,1995,36668,755884,137281,23089003,222410313,R2
SD,2006,0,206685,53738,46737657,228428376,R2
SD,2007,0,3965740,575656,45619617,217847793,R2
SD,2008,0,1430345,368637,35708703,197817743,R2
SD,2009,0,1654243,1129961,29073695,192340094,R2
SD,2010,0,1219771,951480,22390660,174209421,R2
SD,2011,0,1211678,979029,25750973,184641687,R2
SD,2012,0,410216,837689,22004851,165191386,R2
SD,2013,0,411512,850290,21983828,166320693,R2
SD,2014,0,545010,277017,21835462,158791186,R2
SD,2015,0,518335,275064,20555936,157387165,R2
SD,2016,14136,518661,275064,20095219,155303077,R2
TN,1980,30569809,56726832,2499319,1623842193,10497716115,R8
TN,1989,30701629,77620500,6215359,2093402286,13748020764,R8
TN,1999,51514996,93702349,7316155,2602471630,17516226625,R8
TN,2002,66543901,109354039,26747876,2721082216,18537028896,R8
TN,2003,61027956,105124174,21212085,2778182904,18947709659,R8
TN,2004,56640392,100977584,18857212,2842342237,19405843275,R8
TN,2005,41412014,103082338,11853732,2926596999,19739923238,R8
TN,2006,46725618,97146628,8305463,2937929791,20056387367,R8
TN,2007,42005460,94150499,8255062,2958103890,20245574957,R8
TN,2008,46597962,90584879,7938683,2974336736,20357784437,R8
TN,2009,49971333,88955389,7648336,2989856067,20621513303,R8
TN,2010,51105381,83146459,9420099,3011640275,20874210438,R8
TN,2011,56651405,81574413,10909070,3009704390,20968051546,R8
TN,2012,64327171,78667729,12025128,2968629844,20943943034,R8
TN,2013,62282483,81277850,13562220,2966499636,21123112310,R8
TN,2014,62306512,83910006,14143203,2986590715,21251540745,R8
TX,1975,6406706,13185527,635831,265912895,4121541108,R8
TX,1986,9801299,13962579,1372449,302729837,4813311835,R8
TX,1992,11902496,14156174,1375031,310684552,5060720082,R8
TX,2003,9185818,13926761,2140071,377305005,6122174986,R8
TX,2006,11886880,7022201,5153995,369187625,6462558500,R8
TX,2007,9915557,8344919,4969152,384694122,6638038547,R8
TX,2008,9404256,9215416,3996550,387759671,6515662905,R8
TX,2009,8326698,9441032,6724478,377393909,6368362922,R8
TX,2010,4748260,11448197,9072073,374792841,6263049803,R8
TX,2011,3425770,12127037,10411146,361758584,6247438120,R8
TX,2012,4510855,11552091,10497476,349660891,6075944842,R8
TX,2013,5390670,10681037,12013777,334672867,5859119788,R8
TX,2014,6757211,11381504,10121036,346609974,6383570591,R8
TX,2015,6353923,10683926,8878990,326697145,5410479377,R8
TX,2016,6478572,10281748,4471735,321302615,4999702409,R8
VA,1977,57046397,86790866,5101066,2263656119,14144431836,R8
VA,1985,52110664,79627351,5515593,2531017725,17056375405,R8
VA,1992,59779031,76611226,8804903,2880068579,19838346265,R8
VA,2001,65225321,83114017,10403005,2690146854,20207437378,R8
VA,2005,63315637,79827672,20830364,2780796274,19713848911,R8
VA,2006,63417781,84273703,17820200,2781818229,19676248530,R8
VA,2007,60559438,84448078,19893230,2779883016,19669923644,R8
VA,2008,57609916,83325364,15866572,2778657792,19923536367,R8
VA,2009,42077193,81390377,12893090,2861786070,20786236755,R8
VA,2010,38767585,81035956,13787415,2894515121,21164658167,R8
VA,2011,36707487,79764994,10131247,2937929441,21603795986,R8
VA,2012,37008179,84013376,10575984,2993505172,21957969140,R8
VA,2013,40709463,82597503,10742259,3008594864,22575213646,R8
VA,2014,39633023,85056635,12984680,3104538453,23123030468,R8
VA,2015,35741527,86966336,14171557,3158624961,23693933859,R8
VT,1997,0,595945,0,23488108,5916536343,R9
VT,2006,530762,351354,137038,11267250,5588548842,R9
VT,2007,378473,391540,70741,19249147,5908126096,R9
VT,2008,0,373934,140139,21937070,5950292316,R9
VT,2009,0,339629,64384,22765809,5988827074,R9
VT,2010,0,324992,45348,23170740,5961902481,R9
VT,2011,0,537236,33450,22935707,5980261961,R9
VT,2012,0,540387,26656,23688697,5913649545,R9
VT,2013,0,541539,0,24114807,5771652125,R9
VT,2014,0,565692,0,24487892,5786628198,R9
VT,2015,0,566881,0,24889149,5816805897,R9
